timestamp,origin,destination,departure_date,return_date,trip_length_days,cabin_class,passengers,lowest_price_mxn,airline,stops,duration,url
2026-05-22 18:17:48,MEX,MAD,2026-09-01,2026-09-08,7,economy,1,15410,British Airways,Nonstop,10 hr 35 min,https://www.google.com/travel/flights?q=Flights%20from%20MEX%20to%20MAD%20on%202026-09-01%20returning%202026-09-08%20economy%20class%201%20passenger
2026-05-22 18:18:14,MEX,MAD,2026-09-01,2026-09-09,8,economy,1,15410,British Airways,Nonstop,10 hr 35 min,https://www.google.com/travel/flights?q=Flights%20from%20MEX%20to%20MAD%20on%202026-09-01%20returning%202026-09-09%20economy%20class%201%20passenger
2026-05-22 18:18:40,MEX,MAD,2026-09-02,2026-09-09,7,economy,1,15410,British Airways,Nonstop,10 hr 35 min,https://www.google.com/travel/flights?q=Flights%20from%20MEX%20to%20MAD%20on%202026-09-02%20returning%202026-09-09%20economy%20class%201%20passenger
2026-05-22 18:19:06,MEX,MAD,2026-09-02,2026-09-10,8,economy,1,15410,British Airways,Nonstop,10 hr 35 min,https://www.google.com/travel/flights?q=Flights%20from%20MEX%20to%20MAD%20on%202026-09-02%20returning%202026-09-10%20economy%20class%201%20passenger
2026-05-22 18:19:32,MEX,MAD,2026-09-03,2026-09-10,7,economy,1,16130,British Airways,Nonstop,10 hr 35 min,https://www.google.com/travel/flights?q=Flights%20from%20MEX%20to%20MAD%20on%202026-09-03%20returning%202026-09-10%20economy%20class%201%20passenger
2026-05-22 18:19:58,MEX,MAD,2026-09-01,2026-09-08,7,business,1,43989,Air France,1 stop,16 hr,https://www.google.com/travel/flights?q=Flights%20from%20MEX%20to%20MAD%20on%202026-09-01%20returning%202026-09-08%20business%20class%201%20passenger
2026-05-22 18:20:24,MEX,MAD,2026-09-01,2026-09-09,8,business,1,43848,Air France,1 stop,16 hr,https://www.google.com/travel/flights?q=Flights%20from%20MEX%20to%20MAD%20on%202026-09-01%20returning%202026-09-09%20business%20class%201%20passenger
2026-05-22 18:20:50,MEX,MAD,2026-09-02,2026-09-09,7,business,1,50940,Lufthansa,1 stop,16 hr 35 min,https://www.google.com/travel/flights?q=Flights%20from%20MEX%20to%20MAD%20on%202026-09-02%20returning%202026-09-09%20business%20class%201%20passenger
2026-05-22 18:21:16,MEX,MAD,2026-09-02,2026-09-10,8,business,1,51024,Lufthansa,1 stop,16 hr 35 min,https://www.google.com/travel/flights?q=Flights%20from%20MEX%20to%20MAD%20on%202026-09-02%20returning%202026-09-10%20business%20class%201%20passenger
2026-05-22 18:21:41,MEX,MAD,2026-09-03,2026-09-10,7,business,1,51024,Lufthansa,1 stop,16 hr 35 min,https://www.google.com/travel/flights?q=Flights%20from%20MEX%20to%20MAD%20on%202026-09-03%20returning%202026-09-10%20business%20class%201%20passenger
2026-05-22 22:28:29,MEX,EDI,2026-09-01,2026-09-08,7,economy,1,20277,Air France,1 stop,19 hr,https://www.google.com/travel/flights?q=Flights%20from%20MEX%20to%20EDI%20on%202026-09-01%20returning%202026-09-08%20economy%20class%201%20passenger
2026-05-22 22:28:55,MEX,EDI,2026-09-01,2026-09-09,8,economy,1,20277,Air France,1 stop,19 hr,https://www.google.com/travel/flights?q=Flights%20from%20MEX%20to%20EDI%20on%202026-09-01%20returning%202026-09-09%20economy%20class%201%20passenger
2026-05-22 22:29:21,MEX,EDI,2026-09-02,2026-09-09,7,economy,1,24232,Air France,1 stop,18 hr 25 min,https://www.google.com/travel/flights?q=Flights%20from%20MEX%20to%20EDI%20on%202026-09-02%20returning%202026-09-09%20economy%20class%201%20passenger
2026-05-22 22:29:47,MEX,EDI,2026-09-02,2026-09-10,8,economy,1,24209,Lufthansa,1 stop,18 hr 25 min,https://www.google.com/travel/flights?q=Flights%20from%20MEX%20to%20EDI%20on%202026-09-02%20returning%202026-09-10%20economy%20class%201%20passenger
2026-05-22 22:30:13,MEX,EDI,2026-09-03,2026-09-10,7,economy,1,24317,Lufthansa,1 stop,12 hr 25 min,https://www.google.com/travel/flights?q=Flights%20from%20MEX%20to%20EDI%20on%202026-09-03%20returning%202026-09-10%20economy%20class%201%20passenger
2026-05-22 22:30:39,MEX,EDI,2026-09-01,2026-09-08,7,business,1,64498,British Airways,1 stop,14 hr 30 min,https://www.google.com/travel/flights?q=Flights%20from%20MEX%20to%20EDI%20on%202026-09-01%20returning%202026-09-08%20business%20class%201%20passenger
